question,intent,topic,chapter,verse,answer
How to remove fear from my subconscious mind?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
I am terrified of being alone.,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
Why am I constantly fearful of everything around me?,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
Fear and panic are taking over my mind.,fear,fear,2,40,"In this path of selfless action, no effort is ever lost or wasted, and there is no adverse result. Even a little practice of this Dharma protects one from great fear."
I am afraid of failing my exams.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
I am afraid I will fail.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
What if I don't succeed?,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
I keep worrying about failing.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
I am scared of my exam results.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
I cannot stop thinking about failure.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
I am worried that my hard work will not pay off.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
I fear disappointing my parents.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
I am anxious about my future after failure.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
How to cope with repeated failures in life?,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
I failed an important interview and feel broken.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
What does the Gita say about failure in life?,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
How to bounce back after a devastating failure?,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
Why is failure considered a stepping stone in karma yoga?,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
I feel like a total loser after failing tests.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
Fear of failing in career is paralyzing me.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
How to stop obsessing over pass or fail results?,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
I have failed many times and lost all hope.,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
What if my business fails completely?,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
How to overcome the shame and pain of failure?,failure,failure,2,47,"Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction."
What does Krishna say about true success?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
What is the real definition of success in the Gita?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
How can I achieve greatness and triumph in life?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
Does money and fame mean true success?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
How to achieve lasting success without losing peace?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
What is the formula for victory in Bhagavad Gita?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
How can an ordinary person achieve supreme success?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
What makes a human life genuinely successful and victorious?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
How do knowledge and action create success?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
How can I succeed in my endeavors with Gita's blessing?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
"How to attain glory, triumph, and victory in my field?",success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
What is the secret of winning in the battle of life?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
How to balance worldly success with spiritual peace?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
I want to achieve success and prosperity in life.,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
How to achieve high performance and victory in career?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
What brings true prosperity and fulfillment in success?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
How to become successful while staying humble?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
How to reach the pinnacle of success according to Krishna?,success,success,18,78,"Wherever there is Krishna, the Lord of Yoga, and wherever there is Arjuna, the archer, there are unfailing prosperity, victory, happiness, and firm righteousness."
I get angry very quickly. What should I do?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
I get angry very quickly.,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
How can I control sudden anger?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
I lose my temper over small things.,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
How to stop being so short-tempered?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
My rage is ruining my relationships.,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
How does Krishna suggest managing destructive fury?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
Why do I get irritated and furious so easily?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
How to calm down when someone provokes me?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
What does the Bhagavad Gita teach about overcoming anger?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
How to eliminate resentment and temper tantrums?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
I shouted at my loved ones in anger and regret it.,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
Anger makes me blind and lose control of my senses.,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
How to curb aggressive behavior and wrath?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
How to respond peacefully instead of reacting in anger?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
Why does desire turn into anger when unfulfilled?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
I have anger management issues and burst out in fury.,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
How to keep cool and calm when provoked by enemies?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
What shloka in Gita explains how anger destroys intellect?,anger,anger,2,62-63,From brooding over sense-objects arises attachment; from attachment comes desire; from desire anger is born. From anger arises delusion; from delusion confusion of memory; from confusion of memory the destruction of reason; from destruction of reason a person perishes.
How should I handle stress?,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
I feel overwhelmed and stressed all the time.,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
My life feels like too much pressure right now.,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
How to find calmness in a stressful job?,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
Stress is affecting my physical and mental health.,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
How does the Gita guide someone suffering from chronic stress?,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
What should I do when work pressure becomes unbearable?,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
How to cultivate a calm mind like a steady ocean?,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
I feel burnt out and mentally exhausted.,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
How to handle multi-tasking stress peacefully?,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
High workload is causing extreme mental stress.,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
How to de-stress after an exhausting day?,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
What is the Gita's remedy for modern workplace stress?,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
I feel under severe pressure from deadlines and family.,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
How to prevent mental burnout and chronic tension?,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
How to remain stress-free while managing big projects?,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
Pressure from all sides is suffocating me.,stress,stress,2,70,"He attains peace into whom all desires enter as waters enter the ocean, which is filled from all sides and remains unmoved, but not the desirer of desires."
I suffer from severe anxiety and panic.,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
How can I calm my anxious thoughts about tomorrow?,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
Why do I feel anxious without any apparent reason?,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
How to surrender my worries and anxiety to God?,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
Anxiety is keeping me awake at night.,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
What verse in the Gita provides instant relief from panic?,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
How to breathe and find inner safety during high anxiety?,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
I constantly anticipate worst-case scenarios.,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
How to stop overthinking and anxiety spirals?,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
My chest feels tight with anxiety and worry.,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
How does devotion help heal chronic anxiety?,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
How to find emotional security when feeling nervous?,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
I am paralyzed by generalized anxiety disorder.,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
Worrying about the unknown future makes me restless.,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
How to find peace when nervous thoughts take over?,anxiety,anxiety,18,66,"Abandoning all varieties of dharmas and anxieties, surrender unto Me alone as your refuge. I shall deliver you from all sinful reactions; do not grieve."
I feel so confused about everything in my life.,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
My mind is completely clouded with doubts.,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
How to overcome confusion between two opposing choices?,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
I don't know what direction my life is heading in.,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
How did Arjuna resolve his overwhelming confusion?,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
Who should I turn to when I feel lost and confused?,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
How to gain clarity of mind when everything is uncertain?,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
I am in a dilemma and cannot see the right path.,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
My mind is in chaos and I don't know what to do.,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
How does wisdom dispel confusion and perplexity?,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
I am torn between two difficult life paths.,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
I cannot make up my mind because of heavy confusion.,confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
"Please remove my doubts and confusion, Krishna.",confusion,confusion,2,7,My nature is overpowered by the taint of pity; my mind is confused regarding my duty. I ask You: tell me decisively what is good for me. I am Your disciple; instruct me who have taken refuge in You.
I don't know what my duty is.,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
What is my true duty in life?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
Should I abandon my duties when they feel heavy?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
Why is performing duty better than doing nothing?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
How to find joy and fulfillment in everyday duty?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
What is Swadharma according to the Bhagavad Gita?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
Is inaction better than making a mistake in duty?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
How do I fulfill my responsibilities without escaping?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
What are our core duties to society and family?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
Why does Krishna command Arjuna to perform his duty?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
How to do duty without expecting rewards?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
What is the sacred duty of a student and professional?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
Duty feels like a heavy burden; how to change attitude?,duty,duty,3,8,"Perform your prescribed duty, for action is superior to inaction; even the maintenance of your physical body would not be possible without action."
How can I build self discipline?,discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
How to maintain a disciplined daily routine?,discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
What does the Gita teach about balance in eating and sleeping?,discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
I lack consistency and willpower in my daily habits.,discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
"How to achieve moderation in work, diet, and rest?",discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
Why is disciplined routine essential for inner peace?,discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
How to stop oscillating between extremes and stay steady?,discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
How to build morning discipline and regular sadhana?,discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
Why does lack of discipline lead to suffering and chaos?,discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
How to wake up early and stay disciplined with study?,discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
Discipline and self-regulation in daily living.,discipline,discipline,6,17,"Yoga becomes the destroyer of all sorrow for one who is disciplined in eating and recreation, regulated in working, and balanced in sleep and wakefulness."
I feel completely demotivated and uninspired.,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
How to get motivated when I feel like giving up?,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
I feel weak and unable to face my challenges.,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
How does Krishna motivate Arjuna when he wanted to quit?,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
I have lost all drive and energy to work.,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
How to overcome laziness and procrastination?,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
What words of power in the Gita can reignite my fire?,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
I feel like a failure and want to give up everything.,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
How to stay motivated when progress is painfully slow?,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
Give me inspirational motivation from the Gita.,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
How to awaken the inner warrior inside me?,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
How to overcome feelings of helplessness and defeat?,motivation,motivation,2,3,"Yield not to unmanliness, O son of Pritha! It does not befit you. Cast off this petty faint-heartedness and arise, O scorcher of foes!"
How can I improve my focus and concentration?,focus,focus,2,41,"In this path, the resolute intellect is one-pointed and single-minded; but the thoughts of the irresolute are many-branched and endless."
My mind is scattered across too many goals.,focus,focus,2,41,"In this path, the resolute intellect is one-pointed and single-minded; but the thoughts of the irresolute are many-branched and endless."
How to develop single-pointed determination?,focus,focus,2,41,"In this path, the resolute intellect is one-pointed and single-minded; but the thoughts of the irresolute are many-branched and endless."
How to stop multitasking and concentrate deeply on one task?,focus,focus,2,41,"In this path, the resolute intellect is one-pointed and single-minded; but the thoughts of the irresolute are many-branched and endless."
"What does the Gita say about a resolute, focused intellect?",focus,focus,2,41,"In this path, the resolute intellect is one-pointed and single-minded; but the thoughts of the irresolute are many-branched and endless."
Why does my attention drift away so easily during study?,focus,focus,2,41,"In this path, the resolute intellect is one-pointed and single-minded; but the thoughts of the irresolute are many-branched and endless."
